Promo Code,Rule Function,Parameter,Elig Type,SEQNR,,,,,,,,,,,,,,,,Parameter Value,Code Value,,,,,,,,,,,,,,,,,,Result20
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_ServiceType&,ServiceType,Init+Rec,80217,,,,,,,,,,,,,,,,Postpaid,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_WINDTab&,WINDTab,Init+Rec,80218,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_CustomerType&,CustomerType,Init,80219,,,,,,,,,,,,,,,,GW CONSUMER,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_CustomerType&,CustomerType,Init,80220,,,,,,,,,,,,,,,,GW BUSINESS,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_RatePlanToMRC&,RatePlanToMRC,Init+Rec,80221,,,,,,,,,,,,,,,,>=35,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80222,,,,,,,,,,,,,,,,840244707262,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80223,,,,,,,,,,,,,,,,840244706944,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80224,,,,,,,,,,,,,,,,840244707156,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80225,,,,,,,,,,,,,,,,840244707033,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80226,,,,,,,,,,,,,,,,840244706746,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80227,,,,,,,,,,,,,,,,840244706852,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80228,,,,,,,,,,,,,,,,629258136974,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80229,,,,,,,,,,,,,,,,629258136950,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80230,,,,,,,,,,,,,,,,629258136967,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80231,,,,,,,,,,,,,,,,629258136943,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80232,,,,,,,,,,,,,,,,629258136929,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_SKU&,SKU,Init+Rec,80233,,,,,,,,,,,,,,,,629258136936,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80234,,,,,,,,,,,,,,,,0887636 BC Ltd,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80235,,,,,,,,,,,,,,,,8771359 Canada Inc,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80236,,,,,,,,,,,,,,,,Astral Mobile,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80237,,,,,,,,,,,,,,,,A-Z Wireless,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80238,,,,,,,,,,,,,,,,BAGGIA WIRELESS LTD.,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80239,,,,,,,,,,,,,,,,BSBY,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80240,,,,,,,,,,,,,,,,Call Centre,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80241,,,,,,,,,,,,,,,,CellCan,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80242,,,,,,,,,,,,,,,,Cellcom,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80243,,,,,,,,,,,,,,,,Cellstreams Communication Inc.,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80244,,,,,,,,,,,,,,,,Cell-Tel,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80245,,,,,,,,,,,,,,,,Celltronics,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80246,,,,,,,,,,,,,,,,Cellular Point,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80247,,,,,,,,,,,,,,,,Cellular Warehouse Inc,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80248,,,,,,,,,,,,,,,,CommCore Wireless,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80249,,,,,,,,,,,,,,,,Connexions,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80250,,,,,,,,,,,,,,,,D and D Communications Inc,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80251,,,,,,,,,,,,,,,,DATUM COMMUNICATION,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80252,,,,,,,,,,,,,,,,GW Store,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80253,,,,,,,,,,,,,,,,Hello_Mobile,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80254,,,,,,,,,,,,,,,,Maple Waves Corp,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80255,,,,,,,,,,,,,,,,Myfone Plus Inc,,,,,,,,,,,,,,,,,,,
Pixel 8 promo - $120 discount with select plan - HWU,fGW_PRO_RULE_Channel&,Channel,Init,80256,,,,,,,,,,,,,,,,New Touch Wireless,,,,,,,,,,,,,,,,,,,
