Promo Code,,,,,,,,,,,,,,,,,,,,Type,ActionType,Start Date,End Date,Months Until Benefit,BenefitDuration,Reusable/Stackable?,Short Name,UniqueCode?,MembershipId?,BenefitType,Rep EndDate,Promo Category,Invoice Message Code,Invoice Description,,,,Measurement,Max Redemption,Description
BYD Freedom40 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD WIND40 PA,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,12.5,$12.50 per month off add-ons or pay-per-use for 20 months
BYD 400 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 400 PA,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$20 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,20,$20 per month off add-ons or pay-per-use for 20 months
BYD 150 PA 2014,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 150 PA 2014,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$7.50 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,7.5,$7.50 per month off add-ons or pay-per-use for 20 months
BYD 250 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 250 PA,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,12.5,$12.50 per month off add-ons or pay-per-use for 20 months
BYD 500 PA,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 500 PA,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$25 per month off add-ons or pay-per-use for 20 months,,,,PERCENTAGE,25,$25 per month off add-ons or pay-per-use for 20 months
BYD Freedom30 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD WIND30 PB,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$5 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,5,$5 per month off add-ons or pay-per-use for 20 months
BYD Freedom40 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD WIND30 PB,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,12.5,$12.50 per month off add-ons or pay-per-use for 20 months
BYD 400 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 400 PB,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$20 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,20,$20 per month off add-ons or pay-per-use for 20 months
BYD 150 PB 2014,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 150 PB 2014,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$7.50 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,7.5,$7.50 per month off add-ons or pay-per-use for 20 months
BYD 250 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 250 PB,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$12.50 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,12.5,$12.50 per month off add-ons or pay-per-use for 20 months
BYD 500 PB,,,,,,,,,,,,,,,,,,,,Manual,New Line (New or Existing),06-09-2015 00:00:00,31-12-2025 00:00:00,0,20,No,BYD 500 PB,No,No,Service,25-06-2015 00:00:00,Marketing,Bring Your Own Device Promo,$25 per month off add-ons or pay-per-use for 20 months,,,,AMOUNT,25,$25 per month off add-ons or pay-per-use for 20 months
Freedom 10 PA,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),14-10-2014 00:00:00,06-11-2017 00:00:00,0,999,No,WIND FREEDOM 10 PA,No,No,Service,15-06-2025 00:00:00,Marketing,Usage and Add-on Promo,Freedom 10 PA Promo 2014,,,,PERCENTAGE,10,[10/14/2014 TRahman] WIND Freedom 10 PA Promo 2014
Premium data add-on Promo PA,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),16-08-2015 00:00:00,06-11-2017 00:00:00,0,1,No,PREMIUM_DATA_ADDON_PROMO_PA,No,No,Service,25-06-2025 00:00:00,Marketing,Usage and Add-on Promo,Premium data add-on Promo PA Promo August 2015,,,,PERCENTAGE,10,[08/04/2015 TRahman]: Premium data add-on Promo PA Promo August 2015
Premium data add-on Promo PB,,,,,,,,,,,,,,,,,,,,Auto,New Line (New or Existing),16-08-2015 00:00:00,06-11-2017 00:00:00,0,1,No,PREMIUM_DATA_ADDON_PROMO_PB,No,No,Service,25-06-2025 00:00:00,Marketing,Usage and Add-on Promo,Premium data add-on Promo PB Promo Ausgust 2015,,,,PERCENTAGE,10,[08/04/2015 TRahman]: Premium data add-on Promo PB Promo Ausgust 2015
Back to School 100,,,,,,,,,,,,,,,,,,,,Auto,Port In,25-08-2015 00:00:00,09-01-2015 00:00:00,1,10,No,BACK TO SCHOOL 100,No,No,Service,10-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,Back to School 100 Promo August 2015,,,,AMOUNT,10,Back to School 100 Promo August 2015
Back to School 50,,,,,,,,,,,,,,,,,,,,Auto,Port In,25-08-2015 00:00:00,09-01-2015 00:00:00,1,10,No,BACK TO SCHOOL 50,No,No,Service,10-12-2015 00:00:00,Marketing,Rate Plan Discount Promo,Back to School 50 Promo August 2015,,,,AMOUNT,5,Back to School 50 Promo August 2015
THX 10$ Abv MRC 6 Months,,,,,,,,,,,,,,,,,,,,Manual,N/A,27-08-2015 00:00:00,16-08-2025 00:00:00,0,6,No,THX 10$ DISCOUNT FOR 6 MONTHS,Yes,No,Service,25-06-2025 00:00:00,Marketing,Thank You Promo,THX 10$ Abv MRC 6 Months Promo August 2015,,,,PERCENTAGE,10,THX 10$ Abv MRC 6 Months Promo August 2015
THX 5$ Bel MRC 6 Months,,,,,,,,,,,,,,,,,,,,Manual,N/A,27-08-2015 00:00:00,16-08-2025 00:00:00,0,6,No,THX 5$ DISCOUNT  FOR 6 MONTHS,Yes,No,Service,25-06-2025 00:00:00,Marketing,Thank You Promo,THX 5$ Bel MRC 6 Months Promo August 2015,,,,AMOUNT,5,THX 5$ Bel MRC 6 Months Promo August 2015
WSC 10$ Abv MRC 5 Mn PA,,,,,,,,,,,,,,,,,,,,Manual,N/A,27-08-2015 00:00:00,05-05-2017 00:00:00,0,5,No,WSC 10$ DISCOUNT FOR 5 MONTHS,Yes,No,Service,05-05-2017 00:00:00,Marketing,Thank You Promo,WSC 10$ Abv MRC 5 Mn PA Promo August 2015,,,,PERCENTAGE,10,WSC 10$ Abv MRC 5 Mn PA Promo August 2015
