Campaign Code,Charge Type,,,,,,,,,,,,,,,,,,,Discount %,Max CAP,Event Type,Event Subtype,Invoice Section,,,,,,,,,,,,,,,,
Care_Above_3_5_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Care_Above_3_5_PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Care_Above_4_5_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Care_Above_4_5_PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Supervisor_Above_6_5_PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Supervisor_Above_6_5_PA,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
CPP Employee Promo PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,10000,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
CPP Employee Promo PA,USAGE,,,,,,,,,,,,,,,,,,,100,10000,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
Accessibility Above $5 PA,ADD-ON,,,,,,,,,,,,,,,,,,,100,5.25,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Accessibility Above $5 PA,USAGE,,,,,,,,,,,,,,,,,,,100,5.25,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
EHU $100 Extra Tab Dis,TAB,,,,,,,,,,,,,,,,,,,100,100,Promo,Unknown,0,,,,,,,,,,,,,,,,
US Roaming Seasonal Promo,ADD-ON,,,,,,,,,,,,,,,,,,,100,15,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
Chinese New Year Promotion 2017,USAGE,,,,,,,,,,,,,,,,,,,100,10,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
BYOD PAP 5$,ADD-ON,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Add On,21100,,,,,,,,,,,,,,,,
BYOD PAP 5$,USAGE,,,,,,,,,,,,,,,,,,,100,5,Promo,Promo Usage,24100,,,,,,,,,,,,,,,,
LTE Bundle $280 Bonus Tab,TAB,,,,,,,,,,,,,,,,,,,100,280,Promo,Unknown,0,,,,,,,,,,,,,,,,
