REFERENCE_CODE,ABBREVIATION,CODE_LABEL,VALID,DESCRIPTION,CHILD_REFERENCE_TYPE,CHILD_ATTRIBUTE_TYPE
206,BYD 250 PA,BYOD_250_PA,Y,[03/14/2014 TRahman] BYD 250 PA Promo 2014 : ($12.50 per month off add-ons or pay-per-use for 20 months),,
207,BYD 250 PB,BYOD_250_PB,Y,[03/14/2014 TRahman] BYD 250 PB Promo 2014 : ($12.50 per month off add-ons or pay-per-use for 20 months),,
208,BYD 500 PA,BYOD_500_PA,Y,[03/14/2014 TRahman] BYD 500 PA Promo 2014 : ($25 per month off add-ons or pay-per-use for 20 months),,
209,BYD 500 PB,BYOD_500_PB,Y,[03/14/2014 TRahman] BYD 500 PB Promo 2014 : ($25 per month off add-ons or pay-per-use for 20 months),,
212,$100 Add-ons + Extras Bonus 2014 PA,100_Hamilton_PA,Y,[05/16/2014 TRahman] $100 Add-ons + Extras Bonus 2014 PA Promo 2014,,
213,$100 Add-ons + Extras Bonus 2014 PB,100_Hamilton_PB,Y,[05/16/2014 TRahman] $100 Add-ons + Extras Bonus 2014 PB Promo 2014,,
214,PBRetention_25,PBRetention_25,Y,[06/17/2014 TRahman] PBRetention_25 2014,,
215,Samsung Honda Indy 2014 PA,HONDA_INDY_2014_PA,Y,[06/24/2014 TRahman] Samsung Honda Indy 2014 PA Promo 2014,,
216,Samsung Honda Indy 2014 PB,HONDA_INDY_2014_PB,Y,[06/24/2014 TRahman] Samsung Honda Indy 2014 PB Promo 2014,,
218,Freedom 10 PA,FREEDOM_10_PA,Y,[10/14/2014 TRahman] Freedom 10 PA Promo 2014,,
219,Freedom 15 PA,FREEDOM_15_PA,Y,[10/14/2014 TRahman] Freedom 15 PA Promo 2014,,
220,Black Friday 2014,BLACK_FRIDAY_2014,Y,[11/19/2014 TRahman] PRB0042981 Black Friday 2014 Promo 2014 : One month free - windmobile.ca for details,,
221,2014 port-in promo,2014_ port-in_promo,Y,[12/08/2014 TRahman] 2014 port-in promo : Credit for Mobilicity Customers porting in on December 2014 10$ over 6 months,,
222,2014 Boxing Day 100,2014_Boxing_Day_100,Y,[12/12/2014 TRahman] PRB0043234 2014 Boxing Day 100 Promo : 2014 Boxing Day 100 ($10 per month off your service for 10 months),,
223,Boxing Week 2014,Boxing_Week_2014,Y,[12/12/2014 TRahman] PRB0043234 Boxing Week 2014 Promo : Boxing Week 2014 ($5 per month off your service for 10 months),,
225,London Promo 2015,London_Promo_2015,Y,[03/04/2015 TRahman] London Promo 2015,,
